unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
SOLAR01,18/06/2018,2,0.0,0,0.0,0,1,0,97
SOLAR02,18/06/2018,2,0.0,0,0.0,0,1,0,97
WIND01,18/06/2018,3,17.9,0,17.9,0,1,0,98
WIND02,18/06/2018,3,317.0,0,317.0,0,1,0,98
SOLAR01,18/06/2018,3,0.0,0,0.0,0,1,0,98
SOLAR02,18/06/2018,3,0.0,0,0.0,0,1,0,98
WIND01,18/06/2018,4,10.6,0,10.6,0,1,0,99
WIND02,18/06/2018,4,342.3,0,342.3,0,1,0,99
SOLAR01,18/06/2018,4,0.0,0,0.0,0,1,0,99
SOLAR02,18/06/2018,4,0.0,0,0.0,0,1,0,99
WIND01,18/06/2018,5,0.7,0,0.7,0,1,0,100
WIND02,18/06/2018,5,244.6,0,244.6,0,1,0,100
SOLAR01,18/06/2018,5,0.0,0,0.0,0,1,0,100
SOLAR02,18/06/2018,5,0.0,0,0.0,0,1,0,100
WIND01,18/06/2018,6,0.0,0,0.0,0,1,0,101
WIND02,18/06/2018,6,178.2,0,178.2,0,1,0,101
SOLAR01,18/06/2018,6,0.0,0,0.0,0,1,0,101
SOLAR02,18/06/2018,6,0.0,0,0.0,0,1,0,101
WIND01,18/06/2018,7,1.5,0,1.5,0,1,0,102
WIND02,18/06/2018,7,339.4,0,339.4,0,1,0,102
SOLAR01,18/06/2018,7,0.0,0,0.0,0,1,0,102
SOLAR02,18/06/2018,7,0.0,0,0.0,0,1,0,102
WIND01,18/06/2018,8,8.2,0,8.2,0,1,0,103
WIND02,18/06/2018,8,257.7,0,257.7,0,1,0,103
SOLAR01,18/06/2018,8,16.0,0,16.0,0,1,0,103
